update_cycle,actor_loss,critic_loss
0,-0.003988703340291977,2.4913569360971453
1,-0.005994714656844735,3.646412745118141
2,-0.020690772216767073,4.817497277259827
3,-0.021173596009612085,6.95003125667572
4,-0.013127780333161355,7.943359923362732
5,-0.016104857716709376,8.35669003725052
6,-0.004100918630138039,9.298992866277695
7,-0.004563156608492136,1.887929454818368
8,-0.005370616633445025,10.529779583215714
9,-0.011065126513130963,15.092793321609497
10,-0.008471285691484809,11.449767470359802
11,-0.011035267799161374,12.306773328781128
12,-0.01064386679790914,13.233850491046905
13,-0.011066853068768978,24.929377388954162
14,-0.0012102666776627302,6.875080546736717
15,-0.002971217664889991,14.900133484601975
16,-0.0062818814301863314,19.932455837726593
17,-0.006136360252276063,13.773984336853028
18,-0.014502478623762726,24.940839779376983
19,-0.0010893847094848752,7.345095843076706
20,-0.002374392468482256,17.718540465831758
21,-0.016040700115263463,11.52289704978466
22,-0.012752997712232173,22.500721907615663
23,-0.008644415624439716,15.561603921651841
24,-0.009408763796091079,21.836760318279268
25,-0.002544050943106413,8.162773960828781
26,-0.00997761320322752,27.85976529121399
27,-0.00960010678973049,20.591567349433898
28,-0.007990494836121798,14.084803229570388
29,-0.0082711907569319,0.8906486907973885
30,-0.002449185459408909,15.939628303050995
31,-0.0026860748417675494,9.772726851701737
32,-0.00661175767891109,16.396905136108398
33,-0.002404048200696707,1.0008196219801904
34,-0.006310975179076195,17.666829442977907
35,-0.011358712706714869,16.3302139878273
36,-0.010480931121855974,4.511658153682947
37,-0.010720701003447176,18.51653034090996
38,-0.004447580734267831,0.7625892492011189
39,-0.00703131714835763,19.02892588376999
