episode,reward
1,-298.68412726386214
2,-380.21390389963994
3,-243.23713097867787
4,-268.5071971186336
5,-186.005422350078
6,-433.3871860379953
7,-322.9036765945917
8,-238.78714059923607
9,-194.95934463860218
10,-259.0422137548202
11,-274.60595081479397
12,-377.2979733104102
13,-195.03699163159592
14,-349.89423798521824
15,-51.72818530331678
16,-400.3666315943243
17,-227.64171174678887
18,-114.88167569857
19,-108.3204493152501
20,-390.63177223504726
21,-203.34674170048874
22,-308.7250142102372
23,-179.62360447416862
24,-343.6583288654803
25,-182.5561307677328
26,-350.0858870863854
27,-188.95591926624155
28,-195.2094632439118
29,-130.2348429802875
30,-202.36698732236948
31,-112.15146996659635
32,-235.23679868824794
33,-126.88384000517964
34,-222.61444084071516
35,-65.00529246669679
36,-252.51660744470607
37,-35.59761053770678
38,-339.0156846326735
39,-51.13947486516696
40,-412.4002137131475
41,-29.849742810219873
42,-275.4897121699584
43,-20.39188372619873
44,-213.20698285545268
45,-268.2379539820516
46,-228.68073386377398
47,-188.8944179806821
48,-240.2026479030016
49,-302.4383598707529
50,13.736040539117475
51,-331.4589595543056
52,-221.51304442548744
53,-382.05793813336095
54,-187.74477681427513
55,-207.5938971597252
56,-201.05891464480078
57,-91.10375617335382
58,-133.9751558329507
59,-163.71338976922354
60,-193.60432001534488
61,-301.8978994253803
62,-193.64709282978615
63,-109.8385601396528
64,-203.79989699139753
65,-157.68176407422487
66,-118.68434519603737
67,-172.89931101263403
68,-109.49190422660723
69,-189.89477380097503
70,-113.14275800774243
71,-222.66793183255396
72,-71.7465214004529
73,-146.35729076679152
74,-99.03760749249972
75,-201.78533321412118
76,-67.09994720263975
77,-108.0741997807337
78,-14.471013654446264
79,-68.34731988833771
80,-57.63850149710153
81,-113.18488445053926
82,-45.92918358982636
83,-46.979209425699906
84,-32.01109956098458
85,21.24923593266864
86,-8.101323457513487
87,-128.35975522554716
88,-1.3451506244313052
89,-69.62253588697871
90,-164.80971775321208
91,-105.76242157117049
92,-135.76903746598774
93,-161.44890726160324
94,-70.99137242168541
95,31.973711748324078
96,-39.712724231859056
97,-0.33494623558594583
98,31.113526416291855
99,-5.15302374504639
100,47.74193785739661
101,62.91559609729275
102,32.021557739956826
103,-38.06106375119516
104,92.50380649142537
105,71.0243308158913
106,49.60855890080902
107,6.382547930912711
108,108.3431123103196
109,87.69236009560085
110,165.25946149710242
111,97.74618563213713
112,-7.610340251457046
113,171.10670950831624
114,155.06093439468464
115,88.48058338203772
116,189.52071228817903
117,98.94409590125822
118,34.450921075584596
119,106.78381628458085
120,191.16080085976853
121,55.50596617026204
122,237.11170777767978
123,66.08285024863062
124,87.98174527307778
125,36.34070475699218
126,233.96511190373772
127,67.22510260509381
128,377.703736921707
129,61.278983052991734
130,305.02727564462407
131,10.84830234607493
132,358.1413563108975
133,5.799167679385732
134,308.56159229482125
135,394.9208762761022
136,356.42582600423304
137,370.2156005310856
138,400.46335173563733
139,384.7788004823297
140,393.34516854164576
141,500.9323068604547
142,376.88822347290517
143,357.57257621843996
144,390.9488865942728
145,409.7242016862449
146,368.9662841487493
147,476.100352605278
148,394.3957428308032
149,428.20321677568415
150,355.56301078071226
151,435.1316552699584
152,293.22398826734695
153,449.7213576825692
154,325.1380962851921
155,568.2105745637627
156,322.81236899164367
157,477.2025706827145
158,291.3736142363838
159,542.1485003061912
160,233.49544540014253
161,443.5744563393829
162,206.76049243264686
163,582.076006208136
164,226.47115567642038
165,628.3961312463895
166,159.00667711751854
167,436.00859995999895
168,136.70290083948655
169,651.0703139430902
170,140.37895375448682
171,558.61663230208
172,85.93338824585598
173,381.5456579725975
174,64.28962907705332
175,636.8042848528892
176,30.5433884416058
177,692.7432698830503
178,-0.2647703253061877
179,754.7393214088706
180,641.9976691905666
181,653.4382254619618
182,662.8226833436482
183,699.0891374769311
184,668.8356405868615
185,569.9074255788898
186,613.8514366792881
187,542.627769435969
188,696.7665033973922
189,576.321490552177
190,-185.64329203890622
191,511.52341171600665
192,508.51176983097264
193,476.1547951315748
194,776.355096437081
195,409.39428029211194
196,697.1674803616977
197,415.51820138908397
198,772.5549869464539
199,387.4601763691304
200,711.2040152860059
201,346.4332560925222
202,755.8109107270324
203,318.5957513669107
204,747.0188039846655
205,315.44456383971686
206,749.1701716332755
207,286.98563319605364
208,616.7219507868559
209,235.96706630781486
210,766.7938436568262
211,185.23531599476274
212,751.4341129100112
213,200.3282625720381
214,434.2449249137046
215,147.89022091700335
216,750.8497583667981
217,115.79622530503025
218,789.2329769187263
219,54.64740807718951
220,597.5497139174931
221,23.11797374833182
222,776.3768007057239
223,703.486116614795
224,230.10587671787982
225,876.0804109421078
226,423.827402997427
227,452.22070527249093
228,679.0984919980071
229,665.7319918636376
230,354.54830022637816
231,762.7996227551902
232,660.4048412770378
233,529.0759567743313
234,92.2794121886166
235,754.7573851511003
236,548.0798671103773
237,724.6700780261073
238,474.78165657648253
239,825.6997096195763
240,480.5610219891353
241,671.6154859668212
242,453.7777719143239
243,610.2219178136265
244,241.8947889449455
245,807.3695097064189
246,379.8855912210222
247,726.8444978248449
248,351.52088592721157
249,764.7553967250783
250,343.95728932636115
251,175.84937911407155
252,100.24120396559796
253,665.8059814202012
254,260.5956530664796
255,564.1719055572548
256,225.44782736233293
257,902.4554123999128
258,171.17380482599265
259,823.8146286329405
260,171.02580525136014
261,427.9804799823139
262,91.34918425778966
263,696.0442238196943
264,43.33639518401134
265,343.3475875378342
266,20.63224266653401
267,704.7597569408968
268,630.843819809272
269,821.1427306155999
270,803.3783204618932
271,699.3433436574642
272,806.8834806955165
273,869.2958252213629
274,854.5845333953758
275,650.4478734376664
276,716.5603030122062
277,711.6025124194957
278,808.7774565107951
279,202.16668050439176
280,414.4018801953407
281,572.0491286618936
282,796.1278432802003
283,564.300008543302
284,563.8447122069555
285,564.3852581775328
286,723.3501018328387
287,503.2209186050993
288,674.0478595198671
289,345.49878221737936
290,663.6905045902748
291,451.49915167808564
292,228.91677694174612
293,380.6320744264576
294,884.6228763840444
295,340.70137600000385
296,104.23720694371328
297,309.2399765391724
298,796.9047437186218
299,244.64207423625083
300,286.5055033507315
301,214.26534061604912
302,800.1821446411077
303,170.82919693302665
304,592.9847578188688
305,122.72458985847885
306,878.1392769245047
307,87.66575286029725
308,850.6824430972422
309,59.1851866632438
310,872.3394011455299
311,14.347060376498973
312,549.9513191804934
