steps,average_reward
2048,-1.2000931189557882
4096,-1.1957598112650423
6144,-1.1815179878409725
8192,-1.1600144980541671
10240,-1.1808938282822532
12288,-1.1717284332621851
14336,-1.1852161027821753
16384,-1.156404124008477
18432,-1.1574375588508374
20480,-1.1429333834929176
22528,-1.1736606099855726
24576,-1.1471522531695912
26624,-1.129732535165502
28672,-1.0932724919654169
30720,-1.1196574604398835
32768,-1.0821519535880462
34816,-1.1182093632322192
36864,-1.1083669810780268
38912,-1.1010887660085356
40960,-1.0990528824918262
43008,-1.0648213748719015
45056,-1.0716264974073597
47104,-1.0609583383652903
49152,-1.0107481764032138
51200,-1.013952826068392
53248,-0.9886527084852792
55296,-0.98822297524394
57344,-0.9396341920116675
59392,-0.9502950074805567
61440,-0.9626228695049102
63488,-0.9140601936021252
65536,-0.8948094558708608
67584,-0.9063552055659397
69632,-0.8820291124895738
71680,-0.864264423214276
73728,-0.8640715606527983
75776,-0.816540984670423
77824,-0.8209150129527774
79872,-0.7995782198798437
81920,-0.7916679851178434
83968,-0.754130145118674
86016,-0.7214839476970423
88064,-0.7165049329076716
90112,-0.7106255165539401
92160,-0.6787108936689781
94208,-0.6361180943238
96256,-0.6259824103314023
98304,-0.6352940922347055
100352,-0.6212929198325721
102400,-0.5802225038056079
104448,-0.556302407997505
106496,-0.5689070043710271
108544,-0.5185419456827375
110592,-0.5213764798068234
112640,-0.4872696364276228
114688,-0.5042064407373801
116736,-0.46967489798355405
118784,-0.46440803763051364
120832,-0.46091216673340707
122880,-0.45683864747350467
124928,-0.4288685513369395
126976,-0.4288170399537249
129024,-0.4090798685358422
131072,-0.41410991088805493
133120,-0.379256038509874
135168,-0.3763566583909869
137216,-0.376116567151737
139264,-0.36127858962229037
141312,-0.37187202452536594
143360,-0.34967858010281583
145408,-0.3528352145657983
147456,-0.354118650695624
149504,-0.35227083616877014
151552,-0.33841883879382856
153600,-0.33104377030332377
155648,-0.31491078341793655
157696,-0.32013812826318355
159744,-0.3121270455317576
161792,-0.3157476618592183
163840,-0.31847944214981094
165888,-0.304282564067094
167936,-0.29669487734645617
169984,-0.30047151657510307
172032,-0.29461736618508577
174080,-0.2846685390993643
176128,-0.27744525578296325
178176,-0.2754560053425008
180224,-0.259810945944296
182272,-0.2589426405431933
184320,-0.2502288374795641
186368,-0.2604137454955801
188416,-0.26904477106625124
190464,-0.26859174068344904
192512,-0.246442719031771
194560,-0.24917982996819465
196608,-0.25222787806912594
198656,-0.25807125718589
200704,-0.25401628961813283
202752,-0.2517647494914544
204800,-0.2427622158561705
206848,-0.2518963971721391
208896,-0.2457127447382753
210944,-0.2416991442605769
212992,-0.2579162301129824
215040,-0.2192807304655178
217088,-0.2386883487640273
219136,-0.2402378164699802
221184,-0.22576182174510692
223232,-0.21857943962557344
225280,-0.2238969896015488
227328,-0.2323627952857964
229376,-0.24051952200071963
