episode,reward
156,-60.227631268299966
157,-59.06872119523216
158,-56.06129206367377
159,-61.49484996771935
160,-64.42756984280489
161,-23.005848913566904
162,-62.294405101519885
163,-63.291108840650246
164,-63.5186793326583
165,-57.789260807868736
166,-61.253174454573234
167,-55.94097828780812
168,-64.97045323001896
169,-59.7378155056084
170,-69.58808507959353
171,-58.3850887283192
172,-60.25964152226521
173,-56.050393081949395
174,-62.155924674060046
175,-55.14326259713211
176,-51.84976593466534
177,-58.697220888069054
178,-61.785189863391636
179,-55.60579153698605
180,-57.97753121582794
181,-62.8139859041723
182,-56.696063841599305
183,-69.22938018665616
184,-62.040400388444134
185,-57.68144174059392
186,-61.58847754654953
187,-58.467555893172495
188,-65.36929680035442
189,-63.87701431248255
190,-56.88424374601642
191,-55.25764395924589
192,-60.876431011665325
193,-56.885231124947275
194,-61.20507208944289
195,-62.94098139599079
196,-61.655747704216104
197,-63.68631656839975
198,-65.59145842488557
199,-57.41904940337118
200,-55.288568701769876
201,-13.711305736310859
202,-52.17933970818861
203,-65.40433345095035
204,-56.65723384771812
205,-60.60362271644564
206,-50.072263361802314
207,-61.87785570936552
208,-59.68182562201444
209,-68.44649017549824
210,-59.61009292381471
211,-55.16982478386128
212,-54.18732474768079
213,-49.969800946389604
214,-56.89980444600578
215,-64.57469376507433
216,-60.430518535470796
217,-59.660405714810324
218,-58.53857546691114
219,-69.82751726759793
220,-61.844590710734046
221,-59.65726486665785
222,-54.080462202836415
223,-59.675515912340295
224,-59.98106614532789
225,-61.160200770346236
226,-59.8856598778652
227,-53.1407500540905
228,-54.18587404434497
229,-59.61453505936318
230,-58.94013565584272
231,-59.90437462748476
232,-56.577751576980795
233,-52.36447150527233
234,-68.40832218858823
235,-69.01175001743516
236,-66.73679651611498
237,-64.27082553242185
238,-60.653551251214516
239,-57.65735881611133
240,-57.77950028283659
241,-3.61276527698369
242,-60.85039792777088
243,-59.94927966300586
244,-69.29620221725709
245,-57.527959598124376
246,-61.805198707536846
247,-57.62103236885162
248,-60.291989170713855
249,-66.04261260300156
250,-50.66653268986056
251,-63.158203042391
252,-63.24350351810398
253,-64.6317438674589
254,-61.12501451489402
255,-58.69078724010584
256,-56.10006640158648
257,-71.95111831813298
258,-60.505296831466715
259,-57.30005833794976
260,-57.8896954260333
261,-59.29357226006715
262,-63.926700003772694
263,-67.45357036757
264,-67.69793809058541
265,-50.23120018338426
266,-63.06908079116249
267,-58.102267720075496
268,-60.3850195465383
269,-52.74527609361326
270,-65.95432981858315
271,-59.69961770428185
272,-53.77805092590962
273,-51.94295646531626
274,-63.27377966448216
275,-64.0683722706986
276,-59.96507598431622
277,-68.30121987247828
278,-56.28325670977015
279,-61.33884360952487
280,-59.71349218268569
281,-52.96993432242231
282,-57.102282164064405
283,-51.24254765340132
284,-54.22966546348824
285,-59.247472074920914
286,-56.90148354338558
287,-54.915715687048134
288,-62.61177432425976
289,-59.98417495913959
290,-55.047005394565986
291,-54.67627557965712
292,-62.48504105075052
293,-64.58663528299456
294,-58.77973505056453
295,-66.04952223790873
296,-62.44552588101543
297,-48.37303822095468
298,-55.25946199493659
299,-56.81612948341289
300,-60.65024286418208
301,-61.39191482843594
302,-52.324356938692176
303,-54.654860967472665
304,-61.8582864468969
305,-63.76236237932564
306,-57.86741841959732
307,-59.858057531101785
308,-58.33375470807014
309,-55.29225224563722
310,-58.81964447929274
311,-58.51542707361144
312,-63.56280184367018
313,-56.89406555376019
314,-65.57666611595074
315,-63.895105424277155
316,-56.939627651183976
317,-54.725581193331514
318,-51.059671912782946
319,-75.51600592192301
320,-54.55877604445056
321,-67.18487046204575
322,-40.58670976096146
323,-56.460949685357285
324,-61.1209424301679
325,-56.75003508378982
326,-58.678924722162925
327,-63.045644122216544
328,-61.07846589102495
329,-58.00994923008011
330,-67.17717662177718
331,-55.46698174126398
332,-64.04300063529551
333,-61.652157442317325
334,-51.92266102086108
335,-59.36265002488584
336,-54.80732838375778
337,-56.28411868115509
338,-50.469888029311555
339,-67.93453209254366
340,-61.38396180526535
341,-64.52566975113871
342,-62.94462619912998
343,-60.28824341023763
344,-58.38787265759283
345,-65.92985303400364
346,-63.743002714872645
347,-59.713293426285716
348,-58.629423337123974
349,-56.25416556409137
350,-52.020954028310825
351,-59.91442586054715
352,-56.99236883973564
353,-52.06369995242969
354,-59.87347880195068
355,-54.611573423846494
356,-63.10559825169992
357,-56.789394391313785
358,-53.78165238319567
359,-60.780277746603524
360,-60.10878980824816
361,-60.65710817577231
362,-36.14585360810215
363,-57.704224768045584
364,-56.286945748031336
365,-45.429009989680665
366,-65.1870884131411
